Molecule,Variability_CV,Design,N_per_group,Total_animals,Dose_mg_kg,Endpoint,Fraction_within_2fold,Median_fold_error,Fold_error_5th_percentile,Fold_error_95th_percentile
Golimumab,0.3,5 dose groups,2,10,3,Cmax,1,0.8857458191982348,0.6642513566535898,1.1296349770536165
Golimumab,0.3,5 dose groups,2,10,3,Terminal clearance,1,1.0038167621286112,0.7519510055634476,1.351325184250326
Golimumab,0.3,5 dose groups,2,10,10,AUC0-28d,0.995,0.9021800798045612,0.6139248159829299,1.2758199405366297
Golimumab,0.3,5 dose groups,2,10,10,Cmax,1,0.8961605754544804,0.6739865723612023,1.1324724289538544
Golimumab,0.3,5 dose groups,2,10,10,Terminal clearance,1,1.0031860842970106,0.7597553526367642,1.3110104352104046
Golimumab,0.3,5 dose groups,2,10,30,AUC0-28d,0.997,0.9016403809324112,0.6261526241436498,1.2820311146848
Golimumab,0.3,5 dose groups,2,10,30,Cmax,1,0.8921469142692667,0.6700579472839376,1.1307875096032205
Golimumab,0.3,5 dose groups,2,10,30,Terminal clearance,1,1.0027493752353398,0.7443207256559563,1.3324212814680034
Golimumab,0.3,5 dose groups,3,15,0.1,AUC0-28d,1,0.910196169184446,0.6644861710016087,1.2248569192780743
Golimumab,0.3,5 dose groups,3,15,0.1,Cmax,1,0.8866042627992428,0.7049348043777788,1.0839036079356905
Golimumab,0.3,5 dose groups,3,15,0.1,Terminal clearance,1,1.0114128193202745,0.7939551298966141,1.285084344949115
Golimumab,0.3,5 dose groups,3,15,1,AUC0-28d,1,0.9131097471055087,0.682461183760296,1.213106289424291
Golimumab,0.3,5 dose groups,3,15,1,Cmax,1,0.8942493944958301,0.7191273216736093,1.0916158504894282
Golimumab,0.3,5 dose groups,3,15,1,Terminal clearance,1,1.0039299863121007,0.7923951818801345,1.272001908436207
Golimumab,0.3,5 dose groups,3,15,3,AUC0-28d,1,0.9105592536522592,0.6551626046000368,1.2006613990667532
Golimumab,0.3,5 dose groups,3,15,3,Cmax,1,0.8788916149265109,0.7083631005538413,1.0686955364388337
Golimumab,0.3,5 dose groups,3,15,3,Terminal clearance,1,1.0008212061731125,0.7964586028677453,1.2631388873956746
Golimumab,0.3,5 dose groups,3,15,10,AUC0-28d,0.997,0.9164325836439317,0.66091010328311,1.2043783761537057
Golimumab,0.3,5 dose groups,3,15,10,Cmax,1,0.8944282627834357,0.704194635744914,1.0786319550509758
Golimumab,0.3,5 dose groups,3,15,10,Terminal clearance,1,1.0118916268906144,0.7898770103726932,1.28293860577065
Golimumab,0.3,5 dose groups,3,15,30,AUC0-28d,1,0.9153001270004182,0.6579912055478674,1.2117419054531566
Golimumab,0.3,5 dose groups,3,15,30,Cmax,1,0.8878852499892519,0.6959084771659918,1.0892934389092364
Golimumab,0.3,5 dose groups,3,15,30,Terminal clearance,1,1.0081123291256868,0.7914176406265745,1.2878268184909758
Golimumab,0.3,5 dose groups,6,30,0.1,AUC0-28d,1,0.916552509173765,0.7404068187512907,1.118353106986921
Golimumab,0.3,5 dose groups,6,30,0.1,Cmax,1,0.8910608858462662,0.7576163534162009,1.031953485284046
