Molecule,Variability_CV,Replicate,Design,N_per_group,Total_animals,Fold_error,Within_2fold,Dose_mg_kg,Endpoint,Study_value,Reference_value
Golimumab,0.3,42,2 dose groups,2,4,1.14819798569244,TRUE,10,AUC0-28d,25572.94193740618,22272.240725090618
Golimumab,0.3,42,2 dose groups,2,4,1.1496411163370295,TRUE,10,Cmax,298.26173186302185,259.43899154663086
Golimumab,0.3,42,2 dose groups,2,4,1.046646297962554,TRUE,10,Terminal clearance,0.06179160503939407,0.05903771423037585
Golimumab,0.3,43,2 dose groups,2,4,0.9213158513989487,TRUE,1,AUC0-28d,2090.0372356405187,2268.5349790378127
Golimumab,0.3,43,2 dose groups,2,4,1.041014831535629,TRUE,1,Cmax,27.0112507045269,25.94703733921051
Golimumab,0.3,43,2 dose groups,2,4,1.1454746387850046,TRUE,1,Terminal clearance,0.06640751883007832,0.05797380106164221
Golimumab,0.3,43,2 dose groups,2,4,0.8276681772678147,TRUE,10,AUC0-28d,18434.024884605744,22272.240725090618
Golimumab,0.3,43,2 dose groups,2,4,0.7491985253169093,TRUE,10,Cmax,194.37130987644196,259.43899154663086
Golimumab,0.3,43,2 dose groups,2,4,0.9967132343807888,TRUE,10,Terminal clearance,0.058843671101006634,0.05903771423037585
Golimumab,0.3,44,2 dose groups,2,4,1.049023586898502,TRUE,1,AUC0-28d,2379.7467007149644,2268.5349790378127
Golimumab,0.3,44,2 dose groups,2,4,1.0059847484276188,TRUE,1,Cmax,26.102323830127716,25.94703733921051
Golimumab,0.3,44,2 dose groups,2,4,1.0960666743312577,TRUE,1,Terminal clearance,0.06354315132797611,0.05797380106164221
Golimumab,0.3,44,2 dose groups,2,4,1.0787022180244832,TRUE,10,AUC0-28d,24025.115470530473,22272.240725090618
Golimumab,0.3,44,2 dose groups,2,4,1.205285797387531,TRUE,10,Cmax,312.6981317996979,259.43899154663086
Golimumab,0.3,44,2 dose groups,2,4,1.1267603863025053,TRUE,10,Terminal clearance,0.0665213576926352,0.05903771423037585
Golimumab,0.3,45,2 dose groups,2,4,1.22666953396937,TRUE,1,AUC0-28d,2782.7427455295283,2268.5349790378127
Golimumab,0.3,45,2 dose groups,2,4,0.9672398899152242,TRUE,1,Cmax,25.097009539604187,25.94703733921051
Golimumab,0.3,45,2 dose groups,2,4,0.8643720254232371,TRUE,1,Terminal clearance,0.050110931845135494,0.05797380106164221
Golimumab,0.3,45,2 dose groups,2,4,0.9380516213473996,TRUE,10,AUC0-28d,20892.511523210836,22272.240725090618
Golimumab,0.3,45,2 dose groups,2,4,0.9155370021669488,TRUE,10,Cmax,237.5259965658188,259.43899154663086
Golimumab,0.3,45,2 dose groups,2,4,1.0638545056440334,TRUE,10,Terminal clearance,0.06280753828691021,0.05903771423037585
Golimumab,0.3,46,2 dose groups,2,4,0.8459135294298423,TRUE,1,AUC0-28d,1918.9844307529295,2268.5349790378127
Golimumab,0.3,46,2 dose groups,2,4,1.0026582658167613,TRUE,1,Cmax,26.016011461615562,25.94703733921051
Golimumab,0.3,46,2 dose groups,2,4,1.2042235799588747,TRUE,1,Terminal clearance,0.06981341825827439,0.05797380106164221
Golimumab,0.3,46,2 dose groups,2,4,0.7773761740744164,TRUE,10,AUC0-28d,17313.90928293535,22272.240725090618
Golimumab,0.3,46,2 dose groups,2,4,0.7713667422985097,TRUE,10,Cmax,200.12260973453522,259.43899154663086
Golimumab,0.3,46,2 dose groups,2,4,1.1514201974969827,TRUE,10,Terminal clearance,0.06797721657890979,0.05903771423037585
Golimumab,0.3,47,2 dose groups,2,4,0.8126641809267484,TRUE,1,AUC0-28d,1843.5571206434424,2268.5349790378127
Golimumab,0.3,47,2 dose groups,2,4,0.8081724197459311,TRUE,1,Cmax,20.969679951667786,25.94703733921051
Golimumab,0.3,47,2 dose groups,2,4,1.0260020698719843,TRUE,1,Terminal clearance,0.05948123988759155,0.05797380106164221
Golimumab,0.3,47,2 dose groups,2,4,0.9571100294952524,TRUE,10,AUC0-28d,21316.984977316843,22272.240725090618
Golimumab,0.3,47,2 dose groups,2,4,0.9232953198317169,TRUE,10,Cmax,239.53880667686462,259.43899154663086
Golimumab,0.3,47,2 dose groups,2,4,0.9755934082440308,TRUE,10,Terminal clearance,0.05759680484094949,0.05903771423037585
Golimumab,0.3,48,2 dose groups,2,4,0.8362349639984098,TRUE,1,AUC0-28d,1897.0282665248187,2268.5349790378127
Golimumab,0.3,48,2 dose groups,2,4,0.836895060071458,TRUE,1,Cmax,21.714947372674942,25.94703733921051
Golimumab,0.3,48,2 dose groups,2,4,1.0390978750603974,TRUE,1,Terminal clearance,0.06024045349232664,0.05797380106164221
Golimumab,0.3,48,2 dose groups,2,4,0.8781463654273336,TRUE,10,AUC0-28d,19558.28724266097,22272.240725090618
Golimumab,0.3,48,2 dose groups,2,4,0.9441733958789376,TRUE,10,Cmax,244.95539367198944,259.43899154663086
Golimumab,0.3,48,2 dose groups,2,4,1.0809047670641772,TRUE,10,Terminal clearance,0.06381414674818586,0.05903771423037585
Golimumab,0.3,49,2 dose groups,2,4,0.8808622445598856,TRUE,1,AUC0-28d,1998.2668134978608,2268.5349790378127
Golimumab,0.3,49,2 dose groups,2,4,0.9485695319329581,TRUE,1,Cmax,24.6125690639019,25.94703733921051
Golimumab,0.3,49,2 dose groups,2,4,1.0795916289728382,TRUE,1,Terminal clearance,0.06258803032588557,0.05797380106164221
Golimumab,0.3,49,2 dose groups,2,4,1.224194064399092,TRUE,10,AUC0-28d,27265.544896523665,22272.240725090618
