Species,Metric,Molecule,Dose_mg_kg,Fold_error,Log2_fold_error,Evaluation_status
Human,AUC0-tlast,Atezolizumab,20,0.9626,-0.05499167158457706,Evaluated
Human,Cmax,Atezolizumab,20,0.8553,-0.22549755489034062,Evaluated
Human,Clearance,Atezolizumab,20,NA,NA,Not evaluable
Human,AUC0-tlast,Avelumab,1,2.1624,1.1126334169852452,Evaluated
Human,Cmax,Avelumab,1,1.2733,0.3485723701596412,Evaluated
Human,Clearance,Avelumab,1,0.1488,-2.748553568441418,Evaluated
Human,AUC0-tlast,Avelumab,3,1.5955,0.6740086086172249,Evaluated
Human,Cmax,Avelumab,3,0.8378,-0.2553222106829261,Evaluated
Human,Clearance,Avelumab,3,0.3195,-1.6461121637150926,Evaluated
Human,AUC0-tlast,Avelumab,10,1.0653,0.09125976619267828,Evaluated
Human,Cmax,Avelumab,10,0.9091,-0.13748909687166025,Evaluated
Human,Clearance,Avelumab,10,0.444,-1.171368418311981,Evaluated
Human,AUC0-tlast,Avelumab,20,1.338,0.42007811597937394,Evaluated
Human,Cmax,Avelumab,20,0.948,-0.07704103576382801,Evaluated
Human,Clearance,Avelumab,20,0.4049,-1.304362451872992,Evaluated
Human,AUC0-tlast,Adalimumab,0.5,1.1635,0.2184712107432615,Evaluated
Human,Cmax,Adalimumab,0.5,0.985,-0.02180437031834845,Evaluated
Human,Clearance,Adalimumab,0.5,0.7476,-0.4196615258042913,Evaluated
Human,AUC0-tlast,Adalimumab,1,1.3678,0.45185729447653983,Evaluated
Human,Cmax,Adalimumab,1,0.926,-0.11091590140185059,Evaluated
Human,Clearance,Adalimumab,1,0.6431,-0.6368850054106817,Evaluated
Human,AUC0-tlast,Adalimumab,3,1.3561,0.43946356799098146,Evaluated
Human,Cmax,Adalimumab,3,1.0208,0.029700234215419886,Evaluated
Human,Clearance,Adalimumab,3,0.6311,-0.6640594714965243,Evaluated
Human,AUC0-tlast,Adalimumab,5,1.0126,0.018064389360361564,Evaluated
Human,Cmax,Adalimumab,5,0.7548,-0.405833671949004,Evaluated
Human,Clearance,Adalimumab,5,NA,NA,Not evaluable
Human,AUC0-tlast,Adalimumab,10,0.9616,-0.056491198838263944,Evaluated
Human,Cmax,Adalimumab,10,0.8327,-0.26413127092642047,Evaluated
Human,Clearance,Adalimumab,10,NA,NA,Not evaluable
Human,AUC0-tlast,Golimumab,0.1,1.7925,0.8419731189271801,Evaluated
Human,Cmax,Golimumab,0.1,0.9482,-0.07673670182305393,Evaluated
Human,Clearance,Golimumab,0.1,0.4522,-1.1449671027979205,Evaluated
Human,AUC0-tlast,Golimumab,0.3,1.209,0.27381424458703657,Evaluated
Human,Cmax,Golimumab,0.3,0.6303,-0.6658894321552473,Evaluated
Human,Clearance,Golimumab,0.3,0.6794,-0.5576668766702485,Evaluated
Human,AUC0-tlast,Golimumab,1,1.0928,0.12802938874064107,Evaluated
Human,Cmax,Golimumab,1,0.8744,-0.1936346938775448,Evaluated
Human,Clearance,Golimumab,1,0.7256,-0.4627536390209269,Evaluated
Human,AUC0-tlast,Golimumab,3,1.4973,0.582363309673199,Evaluated
Human,Cmax,Golimumab,3,1.1717,0.22860323194846943,Evaluated
Human,Clearance,Golimumab,3,0.5695,-0.8122322529539752,Evaluated
Human,AUC0-tlast,Golimumab,6,1.2706,0.3455099242513388,Evaluated
Human,Cmax,Golimumab,6,0.9421,-0.08604789083803648,Evaluated
Human,Clearance,Golimumab,6,0.7659,-0.38477205642117435,Evaluated
Human,AUC0-tlast,Golimumab,10,1.4845,0.5699770933245684,Evaluated
Human,Cmax,Golimumab,10,1.1059,0.14522093708562958,Evaluated
Human,Clearance,Golimumab,10,0.6877,-0.5401487492943315,Evaluated
Human,AUC0-tlast,Bevacizumab,15,1.033,0.04684025420297235,Evaluated
Human,Cmax,Bevacizumab,15,1.2583,0.33147592612318894,Evaluated
Human,Clearance,Bevacizumab,15,1.031,0.04404433270602122,Evaluated
